gene,importance,importance_std
ssgsea_HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.007449975194311276,0.003007518562455497
gene_CXCL10,0.005415908715065388,0.0025957888753697046
clinical_stage_late,0.004382338349594894,0.0020678021101711084
gene_HOXC6,0.004159087150653273,0.0030046983806322415
ssgsea_HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.003679510501074962,0.001473452344948353
gene_NTRK3,0.0033239622953531224,0.0011657207573062415
ssgsea_HALLMARK_ALLOGRAFT_REJECTION,0.002997354059864443,0.0015147219666214516
gene_CEBPD,0.002943608400859976,0.0011547603935899418
gene_FN1,0.0028609227716223373,0.0030412579247730276
gene_SPP1,0.002761700016537183,0.0016296412474605777
ssgsea_HALLMARK_P53_PATHWAY,0.0025301802546717823,0.0014966784116347326
ssgsea_HALLMARK_FATTY_ACID_METABOLISM,0.00234000330742522,0.0022712374250002786
immune_CAF_score,0.0021415577972548837,0.0016615285776387157
gene_CXCL8,0.0018604266578469198,0.0011017685570456322
ssgsea_HALLMARK_GLYCOLYSIS,0.0018604266578469086,0.001618506510385683
ssgsea_HALLMARK_ADIPOGENESIS,0.0018108152803043287,0.0014961072954614082
ssgsea_HALLMARK_APOPTOSIS,0.001794278154456813,0.0015284769012769545
ssgsea_HALLMARK_SPERMATOGENESIS,0.001794278154456802,0.0011460538428392098
ssgsea_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.0017777410286092753,0.0029480064991369206
immune_B_cell_score,0.0016123697701339867,0.0038453262802476233
gene_MMP9,0.0016041012072102346,0.0013147795078750407
ssgsea_HALLMARK_MYC_TARGETS_V1,0.0015958326442864768,0.0014570277771290233
ssgsea_HALLMARK_ESTROGEN_RESPONSE_LATE,0.001587564081362719,0.0009018421170455543
clinical_age_continuous,0.0015792955184389557,0.001134300978849716
ssgsea_HALLMARK_HEME_METABOLISM,0.0015131470150488268,0.0011962584666969837
gene_ICAM1,0.0014387299487349625,0.001986589998753262
gene_CXCL11,0.0014304613858111882,0.001262980695783758
ssgsea_HALLMARK_COAGULATION,0.0014221928228874304,0.0015657086659228996
immune_Neutrophil_score,0.0013973871341161348,0.001553499925832944
ssgsea_HALLMARK_PANCREAS_BETA_CELLS,0.0013395071936497804,0.0011202605956302147
gene_STAT1,0.0013064329419547327,0.0013382816607365733
gene_VIT,0.0012733586902596793,0.0012508234230098052
gene_SLC8A1-AS1,0.001215478749793314,0.0015577191316361167
immune_Mast_cell_score,0.001198941623945804,0.002155463852879786
gene_ADAMTS2,0.001165867372250745,0.000984584142831348
immune_estimate_score,0.001165867372250745,0.0011557960400749147
immune_Exhausted_T_cell_score,0.001132793120555703,0.0013907663846709191
ssgsea_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0010666446171655798,0.0013631598075904614
ssgsea_HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.0010004961137754843,0.0018201922446626276
ssgsea_HALLMARK_MYOGENESIS,0.001000496113775462,0.0009390918188866777
immune_Endothelial_score,0.0009756904250041887,0.0009782097847640257
ssgsea_HALLMARK_COMPLEMENT,0.0009674218620804254,0.0019244802659996324
gene_ISG15,0.0009674218620804087,0.0018320232256919923
gene_CD274,0.0008103191665289111,0.0010219622659487708
ssgsea_HALLMARK_IL2_STAT5_SIGNALING,0.0007441706631387934,0.001082518792727175
ssgsea_HALLMARK_MYC_TARGETS_V2,0.0007359021002150245,0.0016071457522474524
immune_NK_cell_score,0.0007276335372912779,0.0007972198308711067
ssgsea_HALLMARK_ANDROGEN_RESPONSE,0.0007110964114437291,0.001181102783904026
gene_SERPINB11,0.0006945592855962135,0.0008697333416441016
ssgsea_HALLMARK_KRAS_SIGNALING_UP,0.000636679345129848,0.0015329433989231375
gene_COL1A2,0.0005870679675872792,0.001246854326411253
immune_stromal_score,0.0005787994046635103,0.0010556594455766127
clinical_sex_male,0.0005622622788159948,0.0010924520962403807
gene_CAV1,0.0005539937158922315,0.0027395160301137062
gene_CXCR4,0.0005209194641971726,0.001978434033098062
immune_Macrophage_M2_TAM_like_score,0.00047957664957836154,0.001127560372662865
gene_TPBG,0.0004795766495783449,0.0009411644303047472
gene_LINC02487,0.0004382338349595283,0.0017164190346559947
ssgsea_HALLMARK_PEROXISOME,0.0004134281461882383,0.0011999391389893653
ssgsea_HALLMARK_UV_RESPONSE_DN,0.0004051595832644639,0.0014211107678486126
ssgsea_HALLMARK_INFLAMMATORY_RESPONSE,0.00038035389449319614,0.0016669718157510884
