gene_symbol
IL1B
FN1
CXCL8
MMP9
CXCL10
STAT1
ICAM1
TLR2
ERBB2
CXCL11
CXCR4
PTGS2
CD274
THBS1
FCGR3A
SPP1
SERPINE1
ISG15
CAV1
SERPINB11
RSRC1
COL1A1
SLC8A1-AS1
HCG22
LINC02487
COL1A2
TPBG
CEBPD
MMP1
BTG3
HOXC6
APOL1
ADH1B
TP63
COL4A1
KRT17
NTRK3
LOX
ADAMTS2
VIT
NUCB2
CFAP251
CCDST
