gene_symbol,GSM1020099,GSM1020100,GSM1020101,GSM1020102,GSM1020103,GSM1020104,GSM1020105,GSM1020106
AADACL2,3.13803102275076,9.30178962676496,3.05434271301183,2.96166961517001,3.37469773357502,3.43817544317216,3.1109975673792,8.14325249888436
AADACP1,3.34591394427498,4.55021870575192,3.29172952482988,3.427354944985,3.11022617993572,4.41568719388503,4.0607868375902,4.59009941958849
AADAT,5.00615150036301,4.55510285607573,4.37420255139969,4.17581366339633,4.0055685993105,5.21203065552319,4.935800469507,4.26206171583902
AAGAB,7.5328980798681,7.3300783042952,8.0388966571817,8.14786613476325,8.24455276142067,7.46250647474253,7.78612958222215,7.83836491873525
AAK1,9.08160971895242,8.88414883684985,8.56933115369293,8.34617691125261,8.68553718303551,9.03463756716116,8.89634409746545,8.49958692537952
AAMDC,6.37290971106554,7.22689586069175,7.29968544045767,6.97669502672644,7.40130411452545,7.27242184343391,7.54752108031816,6.71820470781819
AAMP,8.16677378745615,8.28290643113687,8.2892454891873,8.48061502580026,8.11884113209588,8.08848884452968,7.98351957484892,8.30198438666228
AANAT,3.16640724200492,3.30415475556374,3.52955871758967,3.36211742406656,3.52175223361023,3.30092571245083,3.39985587373653,3.37210698072878
AAR2,7.80107413910966,7.45280895303191,7.45757848811468,7.49934789644123,7.53417620031735,7.47997067166728,7.88859683125194,7.46770239181707
AARS1,8.82387442837871,9.44719892093935,9.01823133393215,9.41274667539448,9.11228103745096,8.89081874775726,8.97586046762865,8.7238316722306
AARS2,6.7741200389973,6.78249365592704,7.18366238254926,7.18604631347454,7.74679053778904,7.1667935877331,6.67744561747182,6.41472056501732
AARSD1,6.49197928065519,6.44985950096813,7.48942113856221,7.61531244715295,6.45543944451659,6.04517466196757,6.39509562795422,6.70115441477778
AASDH,7.08820483746271,8.06899919443902,7.8624962454973,8.03817225813944,7.42759835703114,8.26515883131309,6.56459274470946,7.72270856520743
AASDHPPT,8.40633138598047,8.43578169880486,9.46207907940834,9.10219331716461,8.79996814595137,8.41458836711649,8.73008364590567,8.84663157792971
AASS,3.72343702642339,4.66526304802401,6.23446990845758,5.02039855153849,4.18687958291675,4.61032221241625,4.4336573311474,4.70451425120033
AATBC,4.82486208512635,6.1619707115559,5.68266111366835,6.53054165748877,5.18361618843469,6.33179044214601,5.24035205117675,5.50966983506393
AATF,8.34268914644533,8.29875598035671,9.49403290384897,9.00417447240912,8.50522141797581,8.1800425872228,8.86268110412201,8.5780109695849
AATK,6.49713760408736,5.97099271689455,6.08429164010454,6.60388548197468,6.10529911271974,6.01841799310967,6.21721820413007,6.38694219477705
ABAT,5.20913626785605,5.3581229553569,4.45161908577144,4.6311282471513,5.09978916394499,5.14886167927162,5.19114857581982,4.26790562988643
ABCA1,8.42121541885891,8.74758398415754,8.16504781807123,7.99014187965403,8.89763854682418,7.44193438855913,9.08090275195236,7.67470412038403
ABCA11P,4.5458150243048,4.59201516061048,4.93139168018111,5.39245228325984,4.6118265909577,5.16804735880655,4.92313947085928,4.24709822840281
ABCA12,5.71033195115754,8.95762750109714,4.13269570716392,6.61143691584498,5.89757907622087,6.15975493249887,4.86116915417513,9.06388104892391
ABCA13,2.77817271170134,3.84560836623997,2.87394559590482,3.35061780442777,3.15237639339869,5.19468465885344,3.15631595740046,4.47577108636211
ABCA17P,3.6470857354825,3.10339725780316,3.41606234286405,3.11619936624123,3.23919516981195,3.30984795244881,3.40603565293798,3.3842905530246
